,sex,xDAI_blockchain_address,trt_label,area_name,gender,biz_type,days_enrolled_0,days_active_0,bal_0,bal_1,bal_2,bal_3,bal_4,bal_5,svol_in_0,svol_in_1,svol_in_2,svol_in_3,svol_in_4,svol_in_5,svol_out_0,svol_out_1,svol_out_2,svol_out_3,svol_out_4,svol_out_5,stxns_in_0,stxns_in_1,stxns_in_2,stxns_in_3,stxns_in_4,stxns_in_5,stxns_out_0,stxns_out_1,stxns_out_2,stxns_out_3,stxns_out_4,stxns_out_5,sunique_in_0,sunique_in_1,sunique_in_2,sunique_in_3,sunique_in_4,sunique_in_5,sunique_out_0,sunique_out_1,sunique_out_2,sunique_out_3,sunique_out_4,sunique_out_5,otxns_in_0,otxns_in_1,otxns_in_2,otxns_in_3,otxns_in_4,otxns_in_5,otxns_out_0,otxns_out_1,otxns_out_2,otxns_out_3,otxns_out_4,otxns_out_5,ovol_in_0,ovol_in_1,ovol_in_2,ovol_in_3,ovol_in_4,ovol_in_5,ovol_out_0,ovol_out_1,ovol_out_2,ovol_out_3,ovol_out_4,ovol_out_5,females_sold_to_0,females_sold_to_1,females_sold_to_2,females_sold_to_3,females_sold_to_4,females_sold_to_5,females_bought_from_0,females_bought_from_1,females_bought_from_2,females_bought_from_3,females_bought_from_4,females_bought_from_5,males_sold_to_0,males_sold_to_1,males_sold_to_2,males_sold_to_3,males_sold_to_4,males_sold_to_5,males_bought_from_0,males_bought_from_1,males_bought_from_2,males_bought_from_3,males_bought_from_4,males_bought_from_5,fem_support_0,fem_support_1,fem_support_2,fem_support_3,fem_support_4,fem_support_5,food_water_vol_0,food_water_vol_1,food_water_vol_2,food_water_vol_3,food_water_vol_4,food_water_vol_5,labour_vol_0,labour_vol_1,labour_vol_2,labour_vol_3,labour_vol_4,labour_vol_5,health_vol_0,health_vol_1,health_vol_2,health_vol_3,health_vol_4,health_vol_5,savings_vol_0,savings_vol_1,savings_vol_2,savings_vol_3,savings_vol_4,savings_vol_5,shop_vol_0,shop_vol_1,shop_vol_2,shop_vol_3,shop_vol_4,shop_vol_5,education_vol_0,education_vol_1,education_vol_2,education_vol_3,education_vol_4,education_vol_5,food_water_n_0,food_water_n_1,food_water_n_2,food_water_n_3,food_water_n_4,food_water_n_5,labour_n_0,labour_n_1,labour_n_2,labour_n_3,labour_n_4,labour_n_5,health_n_0,health_n_1,health_n_2,health_n_3,health_n_4,health_n_5,savings_n_0,savings_n_1,savings_n_2,savings_n_3,savings_n_4,savings_n_5,shop_n_0,shop_n_1,shop_n_2,shop_n_3,shop_n_4,shop_n_5,education_n_0,education_n_1,education_n_2,education_n_3,education_n_4,education_n_5,transport_n_0,transport_n_1,transport_n_2,transport_n_3,transport_n_4,transport_n_5,energy_n_0,energy_n_1,energy_n_2,energy_n_3,energy_n_4,energy_n_5,environment_n_0,environment_n_1,environment_n_2,environment_n_3,environment_n_4,environment_n_5,other_n_0,other_n_1,other_n_2,other_n_3,other_n_4,other_n_5
2353,1,0x7b9D6Aa398f89439a47B161145e3bAe2f7879658,0,Kwale,female,Farming/Labour,523,406,1059.9686983523752,1356.6840268195283,1527.292299325611,1722.3044647757329,1869.5064112477523,2415.0051947027405,617.2262773722628,909.1970802919708,1079.5133819951338,1274.1605839416059,1420.1459854014597,1963.698296836983,1058.1751824817518,1350.1459854014597,1355.0121654501215,1355.0121654501215,1841.6301703163017,1844.0632603406325,51,55,56,57,59,61,63,67,68,68,71,72,24,27,27,27,27,27,17,20,20,20,20,20,41,43,44,45,46,50,0,2,2,2,2,3,442.74242098011234,447.4869465275576,447.7789173304773,448.14388083412695,449.3604258462924,451.30689786575715,0.0,0.5352798053527981,0.5352798053527981,0.5352798053527981,0.5352798053527981,11.970802919708028,58,61,62,62,65,66,39,42,43,44,46,48,5,6,6,6,6,6,6,7,7,7,7,7,534.0875912408759,777.3965936739659,947.7128953771289,1142.360097323601,1288.345498783455,1831.897810218978,17.2992700729927,114.62287104622871,114.62287104622871,114.62287104622871,114.62287104622871,114.62287104622871,68.24817518248175,68.24817518248175,68.24817518248175,68.24817518248175,68.24817518248175,68.24817518248175,1.70316301703163,1.70316301703163,1.70316301703163,1.70316301703163,1.70316301703163,1.70316301703163,955.352798053528,1101.338199513382,1106.2043795620439,1106.2043795620439,1592.8223844282238,1595.2554744525546,5.839416058394161,54.50121654501216,54.50121654501216,54.50121654501216,54.50121654501216,54.50121654501216,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,10,10,10,10,10,10,1,1,1,1,1,1,40,41,42,42,45,46,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2371,1,0x209AeC42BbA7d214914eb71D3329A3b0f9740bE9,0,Kwale,female,Food/Water,522,403,1590.5948485390672,1592.9792767629115,1642.5169896582886,1642.5169896582886,1643.733534670454,1646.409933697218,1513.7226277372263,1513.7226277372263,1562.3844282238442,1562.3844282238442,1562.3844282238442,1563.1143552311435,1576.934306569343,1589.0997566909975,1598.8321167883212,1600.0486618004866,1606.1313868613138,1606.861313868613,47,47,48,48,48,50,61,63,65,66,69,70,42,42,43,43,43,44,34,34,35,36,37,37,20,21,24,24,25,29,1,2,3,3,3,4,76.87222080184097,79.25664902568526,80.13256143444438,80.13256143444438,81.34910644660982,83.29557846607455,0.48661800486618,0.5352798053527981,0.8272506082725061,0.8272506082725061,0.8272506082725061,1.581508515815085,47,49,50,51,54,55,35,35,36,36,36,38,12,12,13,13,13,13,9,9,9,9,9,9,1223.941605839416,1223.941605839416,1272.603406326034,1272.603406326034,1272.603406326034,1273.3333333333333,334.3552311435523,334.3552311435523,334.3552311435523,334.3552311435523,334.3552311435523,334.3552311435523,14.476885644768856,14.476885644768856,16.909975669099754,16.909975669099754,16.909975669099754,16.909975669099754,629.3430656934306,629.3430656934306,636.6423357664233,636.6423357664233,636.6423357664233,636.6423357664233,593.6496350364963,605.8150851581509,605.8150851581509,607.0316301703162,612.3844282238442,613.1143552311436,2.4330900243309004,2.4330900243309004,2.4330900243309004,2.4330900243309004,2.4330900243309004,2.4330900243309004,0.121654501216545,0.121654501216545,0.121654501216545,0.121654501216545,0.121654501216545,0.121654501216545,13,13,13,13,13,13,8,8,9,9,9,9,13,13,14,14,14,14,23,25,25,26,28,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2404,0,0x66A1DFD6Ba097dacD65F8775345906E9cbfB9d07,1,Nairobi,male,Transport,519,389,10395.468369829683,10397.80413625304,10443.959854014598,10455.492700729927,10457.925790754258,10471.064476885644,10304.98686131387,10304.98686131387,10321.945498783454,10333.478345498783,10334.69489051095,10346.373722627737,10354.452554744525,10373.917274939173,10385.450121654501,10385.450121654501,10385.450121654501,10385.450121654501,355,355,357,358,359,366,324,326,327,327,327,327,58,58,58,58,58,59,52,52,52,52,52,52,22,24,27,27,28,31,1,3,3,3,3,4,90.48150851581508,92.81727493917275,122.01435523114355,122.01435523114355,123.230900243309,124.69075425790754,9.732360097323602,9.829683698296837,9.829683698296837,9.829683698296837,9.829683698296837,11.313868613138686,216,217,217,217,217,217,233,233,233,233,233,234,108,109,110,110,110,110,122,122,124,125,126,132,5945.766423357664,5945.766423357664,5945.766423357664,5945.766423357664,5945.766423357664,5949.41605839416,3821.4598540145985,3833.625304136253,3845.1581508515815,3845.1581508515815,3845.1581508515815,3845.1581508515815,2256.009732360097,2263.30900243309,2263.30900243309,2263.30900243309,2263.30900243309,2263.30900243309,0.0,0.0,0.0,0.0,0.0,0.0,1793.7956204379561,1793.7956204379561,1793.7956204379561,1793.7956204379561,1793.7956204379561,1793.7956204379561,1658.3698296836983,1658.3698296836983,1658.3698296836983,1658.3698296836983,1658.3698296836983,1658.3698296836983,48.661800486618006,48.661800486618006,48.661800486618006,48.661800486618006,48.661800486618006,48.661800486618006,90,91,92,92,92,92,127,128,128,128,128,128,0,0,0,0,0,0,30,30,30,30,30,30,52,52,52,52,52,52,1,1,1,1,1,1,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713,0,0xbF7fC900C33c3135835EF0bc543813Cd5b6470F6,1,Kwale,male,Farming/Labour,511,372,1492.264760342221,1619.3937141135107,1648.5907944054813,1648.5907944054813,1653.4569744541432,1904.7951739675252,1134.647201946472,1258.7347931873478,1258.7347931873478,1258.7347931873478,1262.3844282238442,1512.749391727494,1402.0681265206813,1477.4939172749391,1623.4793187347932,1623.4793187347932,1623.4793187347932,1623.4793187347932,58,60,60,60,61,65,82,84,87,87,87,87,41,42,42,42,43,43,32,33,33,33,33,33,41,43,46,46,47,49,2,4,4,4,4,5,357.6175583957491,360.6589209261627,389.8560012181335,389.8560012181335,391.07254623029894,392.0457822400313,4.37956204379562,5.7177615571776155,5.7177615571776155,5.7177615571776155,5.7177615571776155,8.296836982968369,72,73,76,76,76,76,35,36,36,36,36,40,5,5,5,5,5,5,12,12,12,12,13,13,883.625304136253,1005.279805352798,1005.279805352798,1005.279805352798,1005.279805352798,1255.6447688564476,167.76155717761557,167.76155717761557,167.76155717761557,167.76155717761557,167.76155717761557,167.76155717761557,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,4.866180048661801,4.866180048661801,4.866180048661801,4.866180048661801,4.866180048661801,4.866180048661801,1044.5255474452554,1117.5182481751824,1263.5036496350365,1263.5036496350365,1263.5036496350365,1263.5036496350365,68.24817518248175,70.68126520681265,70.68126520681265,70.68126520681265,70.68126520681265,70.68126520681265,0.0,0.0,0.0,0.0,0.0,0.0,14,14,14,14,14,14,14,14,14,14,14,14,2,2,2,2,2,2,45,46,49,49,49,49,7,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2723,1,0x425aeC78911cFC7cD58A9a66215CCf779A8AE052,1,Kwale,female,Health,511,411,1077.902812533311,1081.9660728739436,1113.9612066938948,1115.2507444067903,1727.5378490296612,2000.4575570588581,979.2700729927006,979.8783454987835,982.676399026764,983.6496350364963,1593.5036496350365,1864.963503649635,860.4622871046229,1060.705596107056,1071.7761557177614,1083.2116788321168,1378.8321167883212,1723.1386861313867,64,66,67,69,74,88,67,73,79,82,86,115,34,35,35,36,36,36,15,15,15,16,16,21,20,23,26,27,29,32,2,3,3,3,3,4,98.63273954061017,102.08772737516004,131.28480766713085,131.60110937029387,134.03419939462478,135.4940534092233,20.21897810218978,20.72992700729927,20.72992700729927,20.72992700729927,20.72992700729927,25.863746958637467,63,69,75,78,82,108,51,53,53,55,59,70,3,3,3,3,3,6,12,12,12,12,13,15,810.0486618004866,810.6569343065693,810.6569343065693,811.6301703163017,1408.102189781022,1673.4793187347932,55.35279805352798,55.59610705596107,56.32603406326034,56.32603406326034,56.32603406326034,60.94890510948905,113.38199513381994,113.38199513381994,115.20681265206812,116.90997566909975,118.1265206812652,124.96350364963503,0.0,0.0,0.0,0.0,0.0,0.0,691.4841849148419,891.4841849148418,900.0,909.7323600973235,1204.1362530413626,1531.7518248175181,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,2.068126520681265,0.0,0.0,0.0,0.0,0.0,0.0,6,7,9,9,9,17,12,12,15,17,18,26,0,0,0,0,0,0,48,53,54,55,58,64,1,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053,1,0xbb8470D62612C8a67816c30E0A0c676DfFe400fd,1,Kwale,female,Farming/Labour,502,412,1792.113124074701,2306.3136106927054,2343.2479172620488,2345.9973089895425,2352.4693284542627,3115.3160437827296,1708.7834549878346,2217.1289537712896,2220.802919708029,2222.0194647201947,2226.0583941605837,2986.9586374695864,1782.2384428223843,1977.6155717761555,2124.574209245742,2333.8199513381996,2343.795620437956,2648.6618004866177,147,159,164,165,177,199,93,103,112,119,129,139,75,76,77,77,79,84,20,21,22,22,23,23,25,30,35,36,38,42,0,1,2,2,2,3,83.32966908686662,89.18465692141649,122.44499755401989,123.97784426934837,126.41093429367926,128.357406313144,0.0,0.7299270072992701,2.043795620437956,2.043795620437956,2.043795620437956,4.40389294403893,76,81,88,92,97,102,75,78,78,78,84,95,5,8,10,12,16,20,47,53,57,58,64,67,1275.2311435523113,1523.406326034063,1523.406326034063,1523.406326034063,1524.7688564476884,2160.510948905109,24.087591240875913,27.25060827250608,31.38686131386861,32.846715328467155,35.523114355231144,36.25304136253041,141.3625304136253,141.84914841849147,143.06569343065692,143.5523114355231,143.7956204379562,144.0389294403893,20.68126520681265,20.68126520681265,20.68126520681265,20.68126520681265,20.68126520681265,20.68126520681265,1592.0924574209246,1780.6569343065694,1921.7761557177614,2128.588807785888,2134.6715328467153,2437.5912408759123,4.014598540145985,6.690997566909975,7.177615571776156,7.177615571776156,8.150851581508515,8.880778588807786,0.0,0.0,0.0,0.0,0.0,0.0,19,21,25,28,33,35,8,9,11,12,13,14,1,1,1,1,1,1,63,67,69,71,73,78,2,4,5,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
3057,1,0xaC05dBEc9FF127771f63909a78b83A7cB15035a4,1,Kwale,female,Farming/Labour,502,343,2421.2381791827074,2545.204115922367,2574.4011962143377,2696.0556974308824,3017.2235806425615,3319.8999796693247,2360.729927007299,2482.384428223844,2482.384428223844,2604.038929440389,2922.7737226277372,3224.4768856447686,2179.002433090024,2543.23600973236,2550.5352798053527,2550.5352798053527,2591.897810218978,2591.897810218978,200,201,201,202,205,206,90,93,95,95,97,97,90,90,90,90,90,90,27,27,27,27,28,28,25,26,29,29,31,33,1,2,2,2,2,3,60.50825217540803,62.81968769852239,92.01676799049318,92.01676799049318,94.44985801482409,95.42309402455645,1.2652068126520681,1.8491484184914841,1.8491484184914841,1.8491484184914841,1.8491484184914841,16.350364963503647,83,86,88,88,89,89,140,141,141,142,145,146,5,5,5,5,5,5,39,39,39,39,39,39,1986.7639902676399,2108.418491484185,2108.418491484185,2230.0729927007296,2548.807785888078,2850.510948905109,143.7956204379562,143.7956204379562,148.661800486618,148.661800486618,148.661800486618,148.661800486618,289.4647201946472,289.4647201946472,289.4647201946472,289.4647201946472,325.9610705596107,325.9610705596107,3.89294403892944,3.89294403892944,3.89294403892944,3.89294403892944,3.89294403892944,3.89294403892944,1732.1167883211679,2096.3503649635036,2098.7834549878344,2098.7834549878344,2103.6496350364964,2103.6496350364964,7.299270072992701,7.299270072992701,7.299270072992701,7.299270072992701,7.299270072992701,7.299270072992701,0.0,0.0,0.0,0.0,0.0,0.0,17,17,18,18,18,18,20,20,20,20,21,21,1,1,1,1,1,1,49,52,53,53,54,54,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3092,0,0x5a4159446A259e023b6deA62fD7125960dA5b189,1,Kwale,male,Health,501,399,1392.465875085643,1403.098478491969,1918.9135636501198,1921.8819334798036,2531.3709845746935,3061.8576025795596,1227.639902676399,1235.1824817518248,1721.8004866180047,1724.2335766423357,2332.506082725061,2861.5328467153286,1139.6593673965936,1397.323600973236,1416.058394160584,1416.058394160584,1909.9756690997567,2530.413625304136,108,110,111,113,114,126,84,86,89,89,91,101,55,55,55,56,56,59,26,26,26,26,26,27,39,41,44,45,46,49,1,3,3,3,3,4,164.82597240924397,167.9159967401442,197.113077032115,197.64835683746782,198.86490184963327,200.32475586423183,3.795620437956204,3.844282238442822,3.844282238442822,3.844282238442822,3.844282238442822,14.355231143552311,57,59,62,62,64,72,71,71,72,74,75,82,20,20,20,20,20,22,20,21,21,21,21,25,1063.2360097323601,1063.2360097323601,1549.85401459854,1552.287104622871,2160.5596107055962,2687.639902676399,1.94647201946472,1.94647201946472,1.94647201946472,1.94647201946472,1.94647201946472,1.94647201946472,111.31386861313868,111.31386861313868,111.31386861313868,111.31386861313868,111.31386861313868,111.80048661800487,8.02919708029197,8.02919708029197,8.02919708029197,8.02919708029197,8.02919708029197,8.02919708029197,978.3454987834549,1236.0097323600974,1254.7445255474452,1254.7445255474452,1748.661800486618,2368.613138686131,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,24,24,24,24,24,27,1,1,1,1,1,1,51,53,56,56,58,65,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
3141,0,0x2dcd5B713332A99AdDAd65eE4332102431c785B7,1,Kwale,male,Food/Water,500,370,2377.8155238969684,2392.4870567436838,2506.842287887236,2506.842287887236,2518.277811001591,2518.277811001591,2254.257907542579,2266.4233576642337,2351.581508515815,2351.581508515815,2361.800486618005,2361.800486618005,2268.515815085158,2328.126520681265,2328.126520681265,2328.126520681265,2328.126520681265,2328.126520681265,203,204,205,205,206,206,116,118,118,118,118,118,83,83,83,83,83,83,26,26,26,26,26,26,32,34,37,37,38,38,0,2,2,2,2,3,123.55761635438981,126.06369907945064,155.26077937142145,155.26077937142145,156.4773243835869,156.4773243835869,0.0,0.6326034063260341,0.6326034063260341,0.6326034063260341,0.6326034063260341,4.428223844282238,101,103,103,103,103,103,102,102,103,103,104,104,11,11,11,11,11,11,63,64,64,64,64,64,1576.8369829683697,1576.8369829683697,1661.9951338199512,1661.9951338199512,1672.214111922141,1672.214111922141,75.18248175182481,75.18248175182481,75.18248175182481,75.18248175182481,75.18248175182481,75.18248175182481,55.47445255474452,55.47445255474452,55.47445255474452,55.47445255474452,55.47445255474452,55.47445255474452,35.523114355231144,35.523114355231144,35.523114355231144,35.523114355231144,35.523114355231144,35.523114355231144,2073.625304136253,2133.23600973236,2133.23600973236,2133.23600973236,2133.23600973236,2133.23600973236,0.48661800486618,0.48661800486618,0.48661800486618,0.48661800486618,0.48661800486618,0.48661800486618,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,11,11,11,7,7,7,7,7,7,5,5,5,5,5,5,86,88,88,88,88,88,1,1,1,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3212,1,0xF19e2ea7a3e142427b6763E035a74fCc759FF1f1,1,Kwale,female,Health,497,366,5448.656428073182,5450.456914691186,5480.748885494107,5480.748885494107,5678.315795469775,5679.289031479508,4066.5318734793204,4066.5318734793204,4066.5318734793204,4066.5318734793204,4261.665693430658,4261.665693430658,5011.1192214111925,5080.7055961070555,5090.43795620438,5090.43795620438,5106.25304136253,5130.583941605839,635,635,635,635,637,637,391,398,399,399,401,402,491,491,491,491,491,491,319,320,320,320,320,320,149,151,156,156,158,160,0,2,3,3,3,4,1382.124554593862,1383.9250412118668,1414.2170120147866,1414.2170120147866,1416.6501020391174,1417.6233380488497,0.0,3.6496350364963503,4.306569343065694,4.306569343065694,4.306569343065694,15.182481751824817,95,102,103,103,105,106,192,192,192,192,194,194,69,69,69,69,69,69,130,130,130,130,130,130,2721.0126520681274,2721.0126520681274,2721.0126520681274,2721.0126520681274,2916.1464720194654,2916.1464720194654,459.14841849148416,498.0778588807786,507.81021897810217,507.81021897810217,507.81021897810217,532.1411192214111,709.9756690997567,728.4671532846716,728.4671532846716,728.4671532846716,729.683698296837,729.683698296837,44.28223844282238,44.28223844282238,44.28223844282238,44.28223844282238,44.28223844282238,44.28223844282238,3329.5620437956204,3329.5620437956204,3329.5620437956204,3329.5620437956204,3344.1605839416056,3344.1605839416056,105.15815085158151,117.32360097323601,117.32360097323601,117.32360097323601,117.32360097323601,117.32360097323601,3.40632603406326,3.40632603406326,3.40632603406326,3.40632603406326,3.40632603406326,3.40632603406326,110,113,114,114,114,115,151,154,154,154,155,155,3,3,3,3,3,3,43,43,43,43,44,44,25,26,26,26,26,26,7,7,7,7,7,7,1,1,1,1,1,1,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
3304,0,0xDBbE0a2f6Fbc182f5606ED66367C019a934C7a31,0,Nairobi,male,Farming/Labour,495,366,1666.736178403049,1670.2641589383288,1670.2641589383288,1670.2641589383288,1671.4807039504944,1671.4807039504944,1532.3844282238442,1532.3844282238442,1532.3844282238442,1532.3844282238442,1532.3844282238442,1532.3844282238442,1571.5744525547445,1639.7009732360095,1639.7009732360095,1639.7009732360095,1639.7009732360095,1639.7009732360095,87,87,87,87,87,87,89,90,90,90,90,90,42,42,42,42,42,42,35,35,35,35,35,35,13,16,16,16,17,17,0,1,1,1,1,2,134.35175017920483,137.87973071448465,137.87973071448465,137.87973071448465,139.0962757266501,139.0962757266501,0.0,0.778588807785888,0.778588807785888,0.778588807785888,0.778588807785888,1.386861313868613,31,32,32,32,32,32,45,45,45,45,45,45,58,58,58,58,58,58,42,42,42,42,42,42,665.2311435523114,665.2311435523114,665.2311435523114,665.2311435523114,665.2311435523114,665.2311435523114,800.8759124087591,869.0024330900243,869.0024330900243,869.0024330900243,869.0024330900243,869.0024330900243,144.0389294403893,144.0389294403893,144.0389294403893,144.0389294403893,144.0389294403893,144.0389294403893,192.33576642335765,192.33576642335765,192.33576642335765,192.33576642335765,192.33576642335765,192.33576642335765,102.1897810218978,102.1897810218978,102.1897810218978,102.1897810218978,102.1897810218978,102.1897810218978,327.2678832116788,327.2678832116788,327.2678832116788,327.2678832116788,327.2678832116788,327.2678832116788,0.0,0.0,0.0,0.0,0.0,0.0,41,42,42,42,42,42,10,10,10,10,10,10,9,9,9,9,9,9,7,7,7,7,7,7,21,21,21,21,21,21,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3340,0,0x60A2CBCe89bb9564C0531D8BCC2280b7428675FA,0,Kwale,male,Food/Water,495,408,1821.4976650099122,4141.9363511412985,4669.259952114534,4743.152896153463,4841.693042138865,5208.846326810398,1507.3479318734792,3825.596107055961,4351.386861313868,4424.379562043796,4521.703163017031,4887.883211678832,1623.1143552311435,4135.279805352798,4667.031630170316,4667.031630170316,4837.347931873479,4837.834549878346,99,109,113,114,115,117,132,144,151,151,153,154,70,72,72,72,72,72,58,59,59,59,59,59,74,79,81,82,83,85,0,2,3,3,3,4,314.1497331364331,316.34024408533816,317.87309080066666,318.77333410966907,319.9898791218345,320.9631151315669,0.0,0.7055961070559611,0.8029197080291971,0.8029197080291971,0.8029197080291971,8.175182481751824,79,89,96,96,98,99,34,40,43,44,45,47,14,15,15,15,15,15,14,18,19,19,19,19,1311.9464720194646,2887.1289537712896,3403.1873479318733,3476.1800486618004,3573.5036496350363,3939.683698296837,147.73722627737226,634.3552311435523,634.3552311435523,634.3552311435523,634.3552311435523,634.3552311435523,199.80535279805352,199.80535279805352,199.92700729927006,199.92700729927006,199.92700729927006,199.92700729927006,21.41119221411192,21.65450121654501,26.52068126520681,26.52068126520681,26.52068126520681,26.52068126520681,1232.749391727494,3257.810218978102,3784.574209245742,3784.574209245742,3954.890510948905,3955.3771289537713,8.880778588807786,8.880778588807786,8.880778588807786,8.880778588807786,8.880778588807786,8.880778588807786,0.0,0.0,0.0,0.0,0.0,0.0,9,10,10,10,10,10,33,33,34,34,34,34,4,5,6,6,6,6,50,59,64,64,66,67,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410,1,0x4C4BDE0F4007769aF503f25d9e134fA5b530431A,1,Kwale,female,Health,491,371,2149.4186949207365,2643.5807387163572,2675.210909032659,2724.529643825846,2726.962733850177,2727.935969859909,1860.7785888077858,2349.829683698297,2352.2627737226276,2400.9245742092457,2400.9245742092457,2400.9245742092457,1966.2043795620436,2446.4963503649633,2614.3795620437954,2614.3795620437954,2663.0413625304136,2723.552311435523,352,354,355,356,356,356,145,152,157,157,158,159,146,146,146,147,147,147,39,41,41,41,41,42,35,40,43,44,46,48,0,2,2,2,2,3,288.64010611295095,293.75105501806036,322.9481353100312,323.60506961660053,326.03815964093144,327.0113956506638,0.0,3.40632603406326,3.40632603406326,3.40632603406326,3.40632603406326,3.4306569343065694,113,119,123,123,124,125,274,276,277,278,278,278,30,30,31,31,31,31,48,48,48,48,48,48,1541.800486618005,2030.8515815085157,2033.2846715328467,2081.9464720194646,2081.9464720194646,2081.9464720194646,104.8661800486618,128.7104622871046,131.1435523114355,131.1435523114355,131.1435523114355,131.1435523114355,358.63746958637466,363.5036496350365,373.23600973236006,373.23600973236006,373.23600973236006,433.74695863746956,114.11192214111922,114.11192214111922,114.11192214111922,114.11192214111922,114.11192214111922,114.11192214111922,1364.257907542579,1815.8394160583941,1971.5571776155716,1971.5571776155716,2020.2189781021898,2020.2189781021898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,31,32,32,32,32,37,38,40,40,40,41,15,15,15,15,15,15,64,67,69,69,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3411,1,0x447fD397d6108b0652E08C523017CECEcB4046f7,0,Kwale,female,Farming/Labour,491,404,642.0167883211678,646.8829683698297,646.8829683698297,646.8829683698297,648.099513381995,781.6761557177615,589.5863746958637,592.0194647201946,592.0194647201946,592.0194647201946,592.0194647201946,725.1094890510949,630.4136253041362,636.7396593673966,636.7396593673966,644.0389294403893,644.0389294403893,646.5936739659368,49,50,50,50,50,55,69,70,70,71,71,76,29,29,29,29,29,31,15,15,15,15,15,18,20,22,22,22,23,24,0,2,2,2,2,3,52.43041362530413,54.86350364963503,54.86350364963503,54.86350364963503,56.08004866180048,56.56666666666666,0.0,0.121654501216545,0.121654501216545,0.121654501216545,0.121654501216545,2.8223844282238444,67,68,68,69,69,72,31,31,31,31,31,34,1,1,1,1,1,3,11,12,12,12,12,14,476.9829683698297,476.9829683698297,476.9829683698297,476.9829683698297,476.9829683698297,609.3430656934306,65.20681265206812,65.20681265206812,65.20681265206812,65.20681265206812,65.20681265206812,65.69343065693431,6.81265206812652,6.81265206812652,6.81265206812652,6.81265206812652,6.81265206812652,7.299270072992701,17.0316301703163,17.0316301703163,17.0316301703163,17.0316301703163,17.0316301703163,17.153284671532845,521.8978102189781,528.2238442822385,528.2238442822385,535.5231143552311,535.5231143552311,536.9829683698297,19.464720194647203,19.464720194647203,19.464720194647203,19.464720194647203,19.464720194647203,19.464720194647203,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10,11,5,5,5,5,5,6,5,5,5,5,5,6,48,49,49,50,50,52,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
